Proteins,Gene Symbol,Molecular Weight,Protein Grouping Ambiguity,Total Spectrum Count_hFT1-1,Total Spectrum Count_hFT1-2,Total Spectrum Count_hFT1-3,Exclusive Spectrum Count_hFT1-1,Exclusive Spectrum Count_hFT1-2,Exclusive Spectrum Count_hFT1-3,Total Unique Spectrum Count_hFT1-1,Total Unique Spectrum Count_hFT1-2,Total Unique Spectrum Count_hFT1-3,Exclusive Unique Spectrum Count_hFT1-1,Exclusive Unique Spectrum Count_hFT1-2,Exclusive Unique Spectrum Count_hFT1-3,Total Unique Peptide Count_hFT1-1,Total Unique Peptide Count_hFT1-2,Total Unique Peptide Count_hFT1-3,Exclusive Unique Peptide Count_hFT1-1,Exclusive Unique Peptide Count_hFT1-2,Exclusive Unique Peptide Count_hFT1-3,Protein Identification Probability_hFT1-1,Protein Identification Probability_hFT1-2,Protein Identification Probability_hFT1-3,Percent Coverage_hFT1-1,Percent Coverage_hFT1-2,Percent Coverage_hFT1-3,Percentage of Total Spectra_hFT1-1,Percentage of Total Spectra_hFT1-2,Percentage of Total Spectra_hFT1-3
Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2,GC,53 kDa,,7,8,7,7,8,7,7,5,7,7,5,7,2,3,4,2,3,4,100%,100%,100%,8.02%,12.70%,17.30%,0.01%,0.01%,0.01%
Vinexin OS=Homo sapiens OX=9606 GN=SORBS3 PE=1 SV=2,SORBS3,75 kDa,,3,2,2,3,2,2,2,2,2,2,2,2,1,2,2,1,2,2,99%,100%,100%,1.94%,3.87%,3.87%,0.00%,0.00%,0.00%
Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,VCL,124 kDa,,125,109,114,125,109,114,62,49,54,62,49,54,38,33,32,38,33,32,100%,100%,100%,40.70%,37.30%,36.20%,0.18%,0.17%,0.18%
Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,VIM,54 kDa,TRUE,554,440,455,473,378,394,127,100,107,114,89,98,40,40,40,35,35,35,100%,100%,100%,70.20%,70.20%,69.70%,0.81%,0.68%,0.72%
Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2,HDLBP,141 kDa,,3,0,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0,1,100%,98%,98%,2.84%,0.00%,0.79%,0.00%,0.00%,0.00%
Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=3,NSF,83 kDa,,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,99%,100%,54%,1.75%,3.23%,0.00%,0.00%,0.00%,0.00%
Versican core protein OS=Homo sapiens OX=9606 GN=VCAN PE=1 SV=3,VCAN,373 kDa,,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,100%,99%,98%,0.59%,0.24%,0.24%,0.00%,0.00%,0.00%
Vasodilator-stimulated phosphoprotein OS=Homo sapiens OX=9606 GN=VASP PE=1 SV=3,VASP,40 kDa,,4,2,2,4,2,2,2,1,1,2,1,1,2,1,1,2,1,1,100%,100%,99%,6.84%,3.42%,3.42%,0.01%,0.00%,0.00%
Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS PE=1 SV=4,VARS,140 kDa,,3,1,3,3,1,3,3,1,2,3,1,2,3,1,2,3,1,2,100%,100%,100%,3.40%,1.19%,2.45%,0.00%,0.00%,0.00%
Vacuolar protein sorting-associated protein 35 OS=Homo sapiens OX=9606 GN=VPS35 PE=1 SV=2,VPS35,92 kDa,,5,3,3,5,3,3,3,2,2,3,2,2,3,2,2,3,2,2,100%,100%,100%,4.52%,3.14%,3.14%,0.01%,0.00%,0.00%
"V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3",ATP6V1B2,57 kDa,,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,100%,0,94%,5.68%,0,2.74%,0.00%,0,0.00%
Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2,UTRN,394 kDa,,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,99%,20%,0.82%,0.00%,0.00%,0.00%,0.00%,0.00%
Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,MYO1C,122 kDa,,36,27,33,36,27,33,15,10,12,15,10,12,11,8,10,11,8,10,100%,100%,100%,13.50%,9.97%,12.60%,0.05%,0.04%,0.05%
Uncharacterized protein C1orf198 OS=Homo sapiens OX=9606 GN=C1orf198 PE=1 SV=1,C1orf198,36 kDa,,3,3,2,3,3,2,3,3,1,3,3,1,3,3,1,3,3,1,100%,100%,99%,14.10%,14.10%,5.81%,0.00%,0.00%,0.00%
Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3,UBA1,118 kDa,,32,23,22,32,23,22,14,14,13,14,14,13,12,11,10,12,11,10,100%,100%,100%,16.80%,15.50%,13.30%,0.05%,0.04%,0.04%
Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1,UBE2N,17 kDa,,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,67%,100%,100%,0.00%,12.50%,12.50%,0.00%,0.00%,0.00%
Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens OX=9606 GN=UBA52 PE=1 SV=2,UBA52,15 kDa,TRUE,32,31,30,0,0,0,9,9,8,0,0,0,5,6,5,0,0,0,23%,27%,43%,41.40%,41.40%,41.40%,0.05%,0.05%,0.05%
Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Homo sapiens OX=9606 GN=UCHL1 PE=1 SV=2,UCHL1,25 kDa,,6,6,6,6,6,6,4,4,3,4,4,3,4,3,3,4,3,3,100%,100%,100%,26.00%,22.40%,16.10%,0.01%,0.01%,0.01%
UV excision repair protein RAD23 homolog B OS=Homo sapiens OX=9606 GN=RAD23B PE=1 SV=1,RAD23B,43 kDa,,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,0,0,11.50%,0,0,0.00%,0,0
UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5,UGP2,57 kDa,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,4.13%,4.13%,4.13%,0.00%,0.00%,0.00%
UDP-glucose 6-dehydrogenase OS=Homo sapiens OX=9606 GN=UGDH PE=1 SV=1,UGDH,55 kDa,,5,3,2,5,3,2,3,3,2,3,3,2,3,3,2,3,3,2,100%,100%,100%,8.10%,8.10%,4.66%,0.01%,0.00%,0.00%
Tubulointerstitial nephritis antigen-like OS=Homo sapiens OX=9606 GN=TINAGL1 PE=1 SV=1,TINAGL1,52 kDa,,4,2,2,4,2,2,3,1,2,3,1,2,2,1,2,2,1,2,100%,100%,100%,7.92%,2.78%,7.92%,0.01%,0.00%,0.00%
Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,TUBB6,50 kDa,TRUE,21,14,15,2,1,3,8,6,7,2,1,2,6,5,6,2,1,2,100%,100%,100%,17.00%,13.70%,16.40%,0.03%,0.02%,0.02%
Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1,TUBA1B,50 kDa,TRUE,106,83,75,0,1,0,23,18,17,0,1,0,9,8,7,0,1,0,100%,100%,100%,29.50%,25.10%,22.20%,0.16%,0.13%,0.12%
Tropomyosin beta chain OS=Homo sapiens OX=9606 GN=TPM2 PE=1 SV=1,TPM2,33 kDa,TRUE,105,107,106,33,29,33,44,36,33,17,12,12,22,20,18,8,7,6,100%,100%,100%,57.40%,56.00%,46.50%,0.15%,0.17%,0.17%
Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3,TPM4,29 kDa,TRUE,61,54,51,17,14,11,25,20,16,13,10,8,17,15,13,9,8,7,100%,100%,100%,61.70%,60.10%,45.60%,0.09%,0.08%,0.08%
Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1,TMOD3,40 kDa,TRUE,2,1,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,99%,39%,100%,5.40%,2.27%,5.40%,0.00%,0.00%,0.00%
Tropomodulin-1 OS=Homo sapiens OX=9606 GN=TMOD1 PE=1 SV=1,TMOD1,41 kDa,TRUE,2,2,1,1,1,0,2,2,1,1,1,0,2,2,1,1,1,0,97%,100%,45%,5.29%,5.29%,2.23%,0.00%,0.00%,0.00%
Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3,TPI1,31 kDa,,36,29,26,36,29,26,15,13,11,15,13,11,9,8,7,9,8,7,100%,100%,100%,44.10%,40.60%,35.00%,0.05%,0.05%,0.04%
"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",HADHA,83 kDa,,6,1,3,6,1,3,4,1,2,4,1,2,4,1,2,4,1,2,100%,99%,100%,10.40%,2.75%,4.33%,0.01%,0.00%,0.00%
Transmembrane protein 43 OS=Homo sapiens OX=9606 GN=TMEM43 PE=1 SV=1,TMEM43,45 kDa,,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,0,77%,6.75%,0,0.00%,0.00%,0,0.00%
Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3,TKT,68 kDa,,27,21,19,27,21,19,12,9,9,12,9,9,8,6,6,8,6,6,100%,100%,100%,20.70%,14.90%,14.90%,0.04%,0.03%,0.03%
Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,VCP,89 kDa,,32,20,18,32,20,18,16,12,11,16,12,11,11,9,10,11,9,10,100%,100%,100%,18.50%,16.30%,18.60%,0.05%,0.03%,0.03%
Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3,TAGLN2,22 kDa,,7,2,3,7,2,3,5,2,3,5,2,3,4,2,3,4,2,3,100%,100%,100%,25.60%,11.60%,18.60%,0.01%,0.00%,0.00%
Transgelin OS=Homo sapiens OX=9606 GN=TAGLN PE=1 SV=4,TAGLN,23 kDa,,61,55,52,61,55,52,20,19,19,20,19,19,10,10,10,10,10,10,100%,100%,100%,48.30%,48.30%,48.30%,0.09%,0.09%,0.08%
Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens OX=9606 GN=TGFBI PE=1 SV=1,TGFBI,75 kDa,,11,4,4,11,4,4,10,4,4,10,4,4,7,3,3,7,3,3,100%,100%,100%,16.00%,5.71%,5.71%,0.02%,0.01%,0.01%
Transforming growth factor beta-1-induced transcript 1 protein OS=Homo sapiens OX=9606 GN=TGFB1I1 PE=1 SV=2,TGFB1I1,50 kDa,,7,5,4,7,5,4,5,4,4,5,4,4,3,3,3,3,3,3,100%,100%,100%,10.40%,10.40%,10.40%,0.01%,0.01%,0.01%
Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5,TRIM28,89 kDa,,3,2,0,3,2,0,2,1,0,2,1,0,2,1,0,2,1,0,100%,98%,66%,6.83%,1.80%,0.00%,0.00%,0.00%,0.00%
Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2,TALDO1,38 kDa,,9,8,8,9,8,8,3,3,5,3,3,5,3,3,3,3,3,3,100%,100%,100%,9.50%,9.50%,9.50%,0.01%,0.01%,0.01%
Torsin-1A-interacting protein 1 OS=Homo sapiens OX=9606 GN=TOR1AIP1 PE=1 SV=2,TOR1AIP1,66 kDa,,2,3,1,2,3,1,1,2,1,1,2,1,1,2,1,1,2,1,100%,100%,100%,2.40%,4.46%,2.40%,0.00%,0.00%,0.00%
Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=4,TTN,3816 kDa,,1,4,1,1,4,1,1,3,1,1,3,1,1,3,1,1,3,1,100%,100%,100%,0.03%,0.09%,0.03%,0.00%,0.01%,0.00%
Thrombospondin-2 OS=Homo sapiens OX=9606 GN=THBS2 PE=1 SV=2,THBS2,130 kDa,TRUE,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,22%,0,0,1.19%,0,0,0.00%,0,0
Thioredoxin domain-containing protein 17 OS=Homo sapiens OX=9606 GN=TXNDC17 PE=1 SV=1,TXNDC17,14 kDa,,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,99%,100%,0,7.32%,18.70%,0,0.00%,0.00%,0
Thioredoxin domain-containing protein 5 OS=Homo sapiens OX=9606 GN=TXNDC5 PE=1 SV=2,TXNDC5,48 kDa,,11,9,9,11,9,9,8,7,7,8,7,7,7,5,5,7,5,5,100%,100%,100%,17.60%,11.10%,10.90%,0.02%,0.01%,0.01%
Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3,TXN,12 kDa,,4,4,4,4,4,4,2,2,2,2,2,2,1,2,2,1,2,2,100%,100%,100%,10.50%,22.90%,22.90%,0.01%,0.01%,0.01%
Testin OS=Homo sapiens OX=9606 GN=TES PE=1 SV=1,TES,48 kDa,,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,2,0,0,100%,31%,0,7.84%,0.00%,0,0.00%,0.00%,0
Tensin-3 OS=Homo sapiens OX=9606 GN=TNS3 PE=1 SV=2,TNS3,155 kDa,TRUE,2,1,2,0,0,0,2,1,2,0,0,0,1,1,1,0,0,0,14%,20%,9%,0.90%,0.90%,0.90%,0.00%,0.00%,0.00%
Tenascin-X OS=Homo sapiens OX=9606 GN=TNXB PE=1 SV=5,TNXB,458 kDa,,91,64,67,91,64,67,64,43,47,64,43,47,47,34,36,47,34,36,100%,100%,100%,15.60%,12.30%,12.30%,0.13%,0.10%,0.11%
Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3,TNC,241 kDa,,7,4,5,7,4,5,7,3,4,7,3,4,6,3,4,6,3,4,100%,100%,100%,4.32%,2.32%,3.13%,0.01%,0.01%,0.01%
Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=4,TLN2,272 kDa,TRUE,20,16,14,5,4,2,11,11,8,2,3,2,8,6,6,2,1,1,100%,100%,98%,4.56%,3.54%,3.54%,0.03%,0.03%,0.02%
TRIO and F-actin-binding protein OS=Homo sapiens OX=9606 GN=TRIOBP PE=1 SV=3,TRIOBP,261 kDa,,3,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,53%,87%,1.35%,0.00%,0.00%,0.00%,0.00%,0.00%
TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,TAF15,62 kDa,TRUE,7,3,5,3,0,1,2,2,3,1,0,1,2,2,3,1,0,1,100%,71%,100%,7.26%,3.89%,9.63%,0.01%,0.00%,0.01%
TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1,TARDBP,45 kDa,,6,2,2,6,2,2,6,2,2,6,2,2,3,2,1,3,2,1,100%,100%,99%,15.90%,13.00%,8.70%,0.01%,0.00%,0.00%
T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,CCT6A,58 kDa,,8,6,5,8,6,5,4,4,3,4,4,3,4,4,3,4,4,3,100%,100%,100%,12.40%,9.42%,7.72%,0.01%,0.01%,0.01%
T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,CCT8,60 kDa,,10,9,9,10,9,9,8,6,6,8,6,6,8,6,6,8,6,6,100%,100%,100%,19.30%,13.30%,13.30%,0.02%,0.01%,0.01%
T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4,CCT3,61 kDa,,6,7,5,6,7,5,4,4,3,4,4,3,4,4,3,4,4,3,100%,100%,100%,8.99%,8.99%,6.42%,0.01%,0.01%,0.01%
T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2,CCT7,59 kDa,,10,4,3,10,4,3,7,4,2,7,4,2,5,3,2,5,3,2,100%,100%,100%,13.60%,9.58%,6.63%,0.02%,0.01%,0.00%
T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1,CCT5,60 kDa,,2,3,3,2,3,3,1,2,2,1,2,2,1,2,1,1,2,1,99%,100%,94%,2.59%,4.07%,2.59%,0.00%,0.00%,0.00%
T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,CCT4,58 kDa,,4,2,1,4,2,1,3,2,1,3,2,1,2,2,1,2,2,1,100%,100%,100%,7.79%,7.79%,2.41%,0.01%,0.00%,0.00%
T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1,TCP1,60 kDa,,8,7,5,8,7,5,6,6,4,6,6,4,6,4,3,6,4,3,100%,100%,100%,13.30%,7.37%,5.58%,0.01%,0.01%,0.01%
Synaptopodin-2 OS=Homo sapiens OX=9606 GN=SYNPO2 PE=1 SV=2,SYNPO2,118 kDa,,46,37,33,46,37,33,31,21,20,31,21,20,19,18,16,19,18,16,100%,100%,100%,26.10%,24.70%,23.40%,0.07%,0.06%,0.05%
Synaptopodin OS=Homo sapiens OX=9606 GN=SYNPO PE=1 SV=2,SYNPO,99 kDa,,3,6,2,3,6,2,3,4,2,3,4,2,2,4,2,2,4,2,100%,100%,100%,3.44%,8.07%,3.44%,0.00%,0.01%,0.00%
Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens OX=9606 GN=VAT1 PE=1 SV=2,VAT1,42 kDa,,16,9,8,16,9,8,10,7,6,10,7,6,7,4,6,7,4,6,100%,100%,100%,24.70%,13.20%,21.10%,0.02%,0.01%,0.01%
Supervillin OS=Homo sapiens OX=9606 GN=SVIL PE=1 SV=2,SVIL,248 kDa,,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,98%,100%,100%,0.00%,1.54%,1.54%,0.00%,0.00%,0.00%
Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2,SOD1,16 kDa,,3,2,0,3,2,0,2,2,0,2,2,0,2,2,0,2,2,0,100%,100%,97%,15.60%,15.60%,0.00%,0.00%,0.00%,0.00%
Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,STIP1,63 kDa,,4,4,3,4,4,3,2,2,1,2,2,1,2,2,1,2,2,1,100%,100%,100%,4.97%,4.97%,2.39%,0.01%,0.01%,0.00%
"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",HSPA9,74 kDa,,11,7,7,11,7,7,10,6,6,10,6,6,8,6,5,8,6,5,100%,100%,100%,14.00%,11.20%,9.57%,0.02%,0.01%,0.01%
Stathmin-2 OS=Homo sapiens OX=9606 GN=STMN2 PE=1 SV=3,STMN2,21 kDa,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,SND1,102 kDa,,8,0,1,8,0,1,8,0,1,8,0,1,6,0,1,6,0,1,100%,25%,100%,8.02%,0.00%,1.43%,0.01%,0.00%,0.00%
Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2,CTTN,62 kDa,,10,3,6,10,3,6,9,2,5,9,2,5,5,2,4,5,2,4,100%,100%,100%,14.50%,8.91%,16.20%,0.02%,0.00%,0.01%
Spondin-1 OS=Homo sapiens OX=9606 GN=SPON1 PE=1 SV=2,SPON1,91 kDa,,4,2,4,4,2,4,3,2,4,3,2,4,3,2,3,3,2,3,100%,100%,100%,4.96%,3.59%,4.96%,0.01%,0.00%,0.01%
"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",SFPQ,76 kDa,,8,6,4,8,6,4,6,4,3,6,4,3,4,3,3,4,3,3,100%,100%,100%,6.93%,5.23%,5.23%,0.01%,0.01%,0.01%
Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,SF3B3,136 kDa,,3,2,2,3,2,2,3,1,1,3,1,1,3,1,1,3,1,1,100%,99%,99%,3.04%,0.99%,0.99%,0.00%,0.00%,0.00%
Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1,DDX39B,49 kDa,TRUE,2,2,3,1,1,3,2,2,2,1,1,2,2,2,1,1,1,1,100%,100%,99%,6.07%,6.07%,2.80%,0.00%,0.00%,0.00%
"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3",SPTBN2,271 kDa,TRUE,4,2,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,15%,22%,13%,0.42%,0.42%,0.42%,0.01%,0.00%,0.00%
"Spectrin beta chain, erythrocytic OS=Homo sapiens OX=9606 GN=SPTB PE=1 SV=5",SPTB,246 kDa,TRUE,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,100%,100%,100%,2.06%,1.12%,2.06%,0.00%,0.00%,0.00%
"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",SPTAN1,285 kDa,,87,67,65,87,67,65,60,39,40,60,39,40,45,30,32,45,30,32,100%,100%,100%,22.90%,16.00%,17.00%,0.13%,0.10%,0.10%
Sorbin and SH3 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SORBS2 PE=1 SV=3,SORBS2,124 kDa,TRUE,27,19,20,26,19,20,14,7,9,13,7,9,12,7,8,11,7,8,100%,100%,100%,14.80%,10.30%,11.30%,0.04%,0.03%,0.03%
Sorbin and SH3 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SORBS1 PE=1 SV=3,SORBS1,143 kDa,TRUE,12,11,12,11,11,12,10,6,7,9,6,7,7,5,7,6,5,7,100%,100%,100%,7.20%,5.26%,7.89%,0.02%,0.02%,0.02%
Somatomedin-B and thrombospondin type-1 domain-containing protein OS=Homo sapiens OX=9606 GN=SBSPON PE=1 SV=2,SBSPON,30 kDa,,3,2,4,3,2,4,3,2,4,3,2,4,3,2,3,3,2,3,100%,100%,100%,20.50%,15.90%,20.50%,0.00%,0.00%,0.01%
Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens OX=9606 GN=ATP1A3 PE=1 SV=3,ATP1A3,112 kDa,TRUE,0,0,7,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,8%,0,0,7.31%,0,0,0.01%
