Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
SDF4		1	1	112	0.9%	No
ADGRV1		3	3	112	2.7%	No
IGSF11		1	1	112	0.9%	No
MAGEB3		1	1	112	0.9%	No
STAT5B		1	1	112	0.9%	Yes
PON3		1	1	112	0.9%	No
STAT5A		1	1	112	0.9%	Yes
ASIC4		1	1	112	0.9%	No
STAT6		2	2	112	1.8%	Yes
SIGLEC15		1	1	112	0.9%	No
IP6K1		1	1	112	0.9%	No
KIAA0087		1	1	112	0.9%	No
SPHK2		3	3	112	2.7%	No
ENKD1		1	1	112	0.9%	No
MAP1A		1	1	112	0.9%	No
MAP1B		1	1	112	0.9%	No
RB1CC1		1	1	112	0.9%	No
MAP2		1	1	112	0.9%	No
PPA1		2	2	112	1.8%	No
STK11		1	1	112	0.9%	Yes
GMEB1		1	1	112	0.9%	No
CSMD1		1	1	112	0.9%	No
C3ORF18		1	1	112	0.9%	No
DCTN4		1	1	112	0.9%	No
CYB5R4		1	1	112	0.9%	No
POU3F4		2	2	112	1.8%	No
POU4F1		1	1	112	0.9%	No
NEK4		1	1	112	0.9%	No
POU4F2		1	1	112	0.9%	No
CNPY3		1	1	112	0.9%	No
STK4		2	2	112	1.8%	No
RAB6C		1	1	112	0.9%	No
URB2		1	1	112	0.9%	No
CORIN		1	1	112	0.9%	No
PPEF2		2	2	112	1.8%	No
MARK3		1	1	112	0.9%	No
MARS1		1	1	112	0.9%	No
PPEF1		1	1	112	0.9%	No
MELK		1	1	112	0.9%	No
MATK		1	1	112	0.9%	No
CTSA		2	2	112	1.8%	No
MAML3		2	1	112	0.9%	No
SULT1A2		1	1	112	0.9%	No
SPATA2		1	1	112	0.9%	No
AKT1		2	2	112	1.8%	Yes
MAPT		1	1	112	0.9%	No
PPARG		2	2	112	1.8%	Yes
ARHGEF11		1	1	112	0.9%	No
MED1		1	1	112	0.9%	No
MARK1		1	1	112	0.9%	No
ANKRD27		1	1	112	0.9%	No
MBD1		1	1	112	0.9%	No
SIGLEC10		1	1	112	0.9%	No
MBL2		1	1	112	0.9%	No
HEPH		1	1	112	0.9%	No
ELMO1		1	1	112	0.9%	No
ZBTB24		1	1	112	0.9%	No
PLEKHM1		1	1	112	0.9%	No
C1ORF127		1	1	112	0.9%	No
HSPA14		1	1	112	0.9%	No
TMEM199		1	1	112	0.9%	No
B3GNT2		1	1	112	0.9%	No
TCEAL9		1	1	112	0.9%	No
CRBN		1	1	112	0.9%	Yes
ALCAM		1	1	112	0.9%	No
PODN		1	1	112	0.9%	No
MATN2		1	1	112	0.9%	No
LCMT2		1	1	112	0.9%	No
ZCCHC12		2	2	112	1.8%	No
CNTNAP1		1	1	112	0.9%	No
NAV2		1	1	112	0.9%	No
SLC41A1		1	1	112	0.9%	No
NAV3		2	2	112	1.8%	No
PROSER2		1	1	112	0.9%	No
AVIL		1	1	112	0.9%	No
C2CD2L		1	1	112	0.9%	No
MCF2		1	1	112	0.9%	No
ADIG		1	1	112	0.9%	No
SOX6		1	1	112	0.9%	No
UGGT1		1	1	112	0.9%	No
PLCE1		2	2	112	1.8%	No
DHRS13		1	1	112	0.9%	No
NIN		1	1	112	0.9%	Yes
ENOSF1		1	1	112	0.9%	No
ALDOA		1	1	112	0.9%	No
FSTL5		1	1	112	0.9%	No
EBP		1	1	112	0.9%	No
GNB5		1	1	112	0.9%	No
DLL3		1	1	112	0.9%	No
ASB10	1.640e-2	2	2	112	1.8%	No
ELP1		1	1	112	0.9%	No
TRH		1	1	112	0.9%	No
CNMD		2	2	112	1.8%	No
MCM6		1	1	112	0.9%	No
LRIG2		1	1	112	0.9%	No
WWP2		1	1	112	0.9%	No
MCM7		1	1	112	0.9%	No
CBX4		3	3	112	2.7%	No
TRIO		2	2	112	1.8%	No
CNTRL		1	1	112	0.9%	Yes
EPSTI1		1	1	112	0.9%	No
TRIM71		1	1	112	0.9%	No
PDS5B		1	1	112	0.9%	Yes
SMG1		2	2	112	1.8%	Yes
ALDOC		1	1	112	0.9%	No
PDXDC1		3	3	112	2.7%	No
ALK		1	1	112	0.9%	Yes
ALOX12		1	1	112	0.9%	No
DGKD		1	1	112	0.9%	No
NEUROG3		1	1	112	0.9%	No
DGKZ		1	1	112	0.9%	No
KIAA0319		2	2	112	1.8%	No
BCL2L12		1	1	112	0.9%	No
RALYL		1	1	112	0.9%	No
CEP350		2	2	112	1.8%	No
ADGRG4		1	1	112	0.9%	No
MICU3		2	1	112	0.9%	No
FCHSD2		1	1	112	0.9%	No
ADAM11		2	2	112	1.8%	No
AREL1		1	1	112	0.9%	No
ZC3H11A		1	1	112	0.9%	No
TOPBP1		1	1	112	0.9%	No
URB1		1	1	112	0.9%	No
CLUAP1		1	1	112	0.9%	No
ALOX5AP		1	1	112	0.9%	No
ALOX15		1	1	112	0.9%	No
NCOA6		1	1	112	0.9%	No
SETDB1		1	1	112	0.9%	Yes
BCAS1		1	1	112	0.9%	No
S1PR3		1	1	112	0.9%	No
FCSK		1	1	112	0.9%	No
LPAR1		1	1	112	0.9%	No
MLKL		1	1	112	0.9%	No
TRANK1		2	2	112	1.8%	No
TBC1D4		1	1	112	0.9%	No
TRPC5		1	1	112	0.9%	No
TRPC4		1	1	112	0.9%	No
TRPM2		2	2	112	1.8%	No
TRPC6		1	1	112	0.9%	No
SPTSSB		1	1	112	0.9%	No
UNC13A		1	1	112	0.9%	No
MYO16		2	2	112	1.8%	No
ALPP		1	1	112	0.9%	No
ALPG		2	2	112	1.8%	No
SNRNP200		2	2	112	1.8%	No
LGR5		1	1	112	0.9%	Yes
EEF1A2		1	1	112	0.9%	No
TRO		1	1	112	0.9%	No
TENT4A		1	1	112	0.9%	No
TOX4		1	1	112	0.9%	No
BLZF1		1	1	112	0.9%	No
PHC1		1	1	112	0.9%	No
RNF183		1	1	112	0.9%	No
OR2T3		1	1	112	0.9%	No
TECPR2		2	2	112	1.8%	No
MADD		2	2	112	1.8%	No
WASHC5		1	1	112	0.9%	No
SAMD4A		2	2	112	1.8%	No
ZNF292		2	2	112	1.8%	No
PDZD2		1	1	112	0.9%	No
WDTC1		1	1	112	0.9%	No
DEGS1		1	1	112	0.9%	No
KDM4B		2	2	112	1.8%	No
AMHR2		1	1	112	0.9%	No
PRR14L		1	1	112	0.9%	No
USP33		1	1	112	0.9%	No
COL27A1		4	4	112	3.6%	No
OR6F1		1	1	112	0.9%	No
CDK10		1	1	112	0.9%	No
SYT6		1	1	112	0.9%	No
XKR6		1	1	112	0.9%	No
CASK		1	1	112	0.9%	No
WDFY3		3	3	112	2.7%	No
AMER2		1	1	112	0.9%	No
DAAM1		1	1	112	0.9%	No
SAMD9L		1	1	112	0.9%	No
AMPD1		1	1	112	0.9%	No
AMPD2		1	1	112	0.9%	No
KHSRP		1	1	112	0.9%	No
AMPD3		1	1	112	0.9%	No
PLCH1		1	1	112	0.9%	No
CEP20		1	1	112	0.9%	No
AMY2A		1	1	112	0.9%	No
AKAP8L		1	1	112	0.9%	No
EIF2D		1	1	112	0.9%	No
LILRB3		1	1	112	0.9%	No
LILRA1		2	2	112	1.8%	No
LILRA2		1	1	112	0.9%	No
FITM1		1	1	112	0.9%	No
TSPYL1		1	1	112	0.9%	No
CDH24		1	1	112	0.9%	No
SPEN		1	1	112	0.9%	Yes
ANGPT1		1	1	112	0.9%	No
GALNT17		2	2	112	1.8%	No
ANK1		1	1	112	0.9%	No
ANK2		1	1	112	0.9%	No
ANK3		2	2	112	1.8%	No
OR2D2		1	1	112	0.9%	No
EFNB3		2	2	112	1.8%	No
STON1		2	2	112	1.8%	No
EFNA3		1	1	112	0.9%	No
DNAJC7		1	1	112	0.9%	No
TTC4		2	2	112	1.8%	No
ARAP3		1	1	112	0.9%	No
ANPEP		1	1	112	0.9%	No
CHORDC1		1	1	112	0.9%	No
PARP15		1	1	112	0.9%	No
SWSAP1		1	1	112	0.9%	No
MEGF8		3	2	112	1.8%	No
CELSR3		2	2	112	1.8%	No
EGF		2	2	112	1.8%	No
SH3GLB1		2	2	112	1.8%	No
ZC2HC1A		1	1	112	0.9%	No
TPRXL		1	1	112	0.9%	No
EGR2		1	1	112	0.9%	No
KRTAP4-16		1	1	112	0.9%	No
SPINK5		1	1	112	0.9%	No
MEGF9		1	1	112	0.9%	No
RDH11		1	1	112	0.9%	No
TUB		1	1	112	0.9%	No
OR2T35		1	1	112	0.9%	No
DCLRE1C		1	1	112	0.9%	No
ARSK		1	1	112	0.9%	No
GLIPR1		1	1	112	0.9%	No
ATG3		1	1	112	0.9%	No
AP3M1		1	1	112	0.9%	No
TMPRSS11B		1	1	112	0.9%	No
SERHL2		1	1	112	0.9%	No
TTN		19	17	112	15.2%	No
KMT5B		1	1	112	0.9%	No
EGR3		1	1	112	0.9%	No
LACTB2		1	1	112	0.9%	No
TLK2		2	2	112	1.8%	No
OR2T27		2	2	112	1.8%	No
EPHA2		1	1	112	0.9%	No
UBLCP1		1	1	112	0.9%	No
ARFGEF3		1	1	112	0.9%	No
FAM111A		1	1	112	0.9%	No
ZNF496		1	1	112	0.9%	No
NAT9		1	1	112	0.9%	No
EIF4A2		1	1	112	0.9%	Yes
NOC2L		1	1	112	0.9%	No
ERGIC1		1	1	112	0.9%	No
PPP4R3B		1	1	112	0.9%	No
ZNF567		2	1	112	0.9%	No
NHSL1		1	1	112	0.9%	No
CFAP100		1	1	112	0.9%	No
TYK2		4	3	112	2.7%	Yes
KIAA0825		2	2	112	1.8%	No
HIRA		1	1	112	0.9%	Yes
NUDT14		1	1	112	0.9%	No
RGS22		3	3	112	2.7%	No
PCDHB5		1	1	112	0.9%	No
ZNF563		1	1	112	0.9%	No
IGFN1		1	1	112	0.9%	No
HAP1		2	2	112	1.8%	No
TNN		2	2	112	1.8%	No
CHTF18		1	1	112	0.9%	No
LRCH3		2	2	112	1.8%	No
CNTNAP3B		2	2	112	1.8%	No
ELF2		1	1	112	0.9%	No
PTPN5		3	3	112	2.7%	No
ELAVL3		1	1	112	0.9%	No
GAPVD1		2	2	112	1.8%	No
GALNT11		1	1	112	0.9%	No
ELAVL1		1	1	112	0.9%	No
TRPC4AP		1	1	112	0.9%	No
FER1L6		1	1	112	0.9%	No
CFAP70		1	1	112	0.9%	No
FAM170A		1	1	112	0.9%	No
TAF1B		2	2	112	1.8%	No
MPZL1		1	1	112	0.9%	No
SLC25A14		1	1	112	0.9%	No
ANKRD54		1	1	112	0.9%	No
ZNF667		2	2	112	1.8%	No
SHROOM1		1	1	112	0.9%	No
ZNF383		1	1	112	0.9%	No
XPNPEP3		1	1	112	0.9%	No
ITPR1		2	2	112	1.8%	No
ITPR2		3	1	112	0.9%	No
PCLO		1	1	112	0.9%	Yes
IGLV11-55		1	1	112	0.9%	No
SLC7A3		1	1	112	0.9%	No
JAK3		2	2	112	1.8%	Yes
IGLV8-61		1	1	112	0.9%	No
EXPH5		1	1	112	0.9%	No
CCDC69		1	1	112	0.9%	No
MFRP		1	1	112	0.9%	No
ITPR3		2	2	112	1.8%	No
IVD		1	1	112	0.9%	No
DMRTA1		1	1	112	0.9%	No
KIFBP		1	1	112	0.9%	No
CHST9		1	1	112	0.9%	No
BAZ1B		1	1	112	0.9%	No
JUP		2	2	112	1.8%	No
LRIG3		1	1	112	0.9%	Yes
EPC2		1	1	112	0.9%	No
CDK19		1	1	112	0.9%	No
ADGRG7		1	1	112	0.9%	No
PNPLA8		1	1	112	0.9%	No
DNAL1		1	1	112	0.9%	No
PARP10		1	1	112	0.9%	No
ZC3H10		1	1	112	0.9%	No
AGBL4		1	1	112	0.9%	No
PLB1		1	1	112	0.9%	No
SH2D2A		1	1	112	0.9%	No
DNAJB4		1	1	112	0.9%	No
ARHGEF4		1	1	112	0.9%	No
DIDO1		1	1	112	0.9%	No
RBM33		2	1	112	0.9%	No
ADAM29		1	1	112	0.9%	No
SETD1B		1	1	112	0.9%	Yes
SPAG9		1	1	112	0.9%	No
ZNF609		2	2	112	1.8%	No
LIX1		1	1	112	0.9%	No
KCNA4		1	1	112	0.9%	No
TBC1D9B		1	1	112	0.9%	No
WAPL		1	1	112	0.9%	No
ARHGEF3		1	1	112	0.9%	No
DNAAF1		1	1	112	0.9%	No
ANOS1		1	1	112	0.9%	No
SYT10		2	2	112	1.8%	No
WDR5		1	1	112	0.9%	No
ADAMTS5		1	1	112	0.9%	No
PRSS23		1	1	112	0.9%	No
NUP42		1	1	112	0.9%	No
KIF13A		1	1	112	0.9%	No
NEUROD6		1	1	112	0.9%	No
NUP210L		1	1	112	0.9%	No
ZNF791		1	1	112	0.9%	No
NFS1		1	1	112	0.9%	No
PRDM15		1	1	112	0.9%	No
TMTC4		2	2	112	1.8%	No
HECW1		2	2	112	1.8%	No
BLTP3B		1	1	112	0.9%	No
MYCBP2		2	2	112	1.8%	No
KCNA5		1	1	112	0.9%	No
PTPN21		1	1	112	0.9%	No
KCNA7		1	1	112	0.9%	No
FBH1		1	1	112	0.9%	No
MRGPRX2		1	1	112	0.9%	No
ANGPTL1		1	1	112	0.9%	No
KCNJ3		1	1	112	0.9%	No
MRPL9		1	1	112	0.9%	No
MYO18A		1	1	112	0.9%	Yes
KCNJ2		1	1	112	0.9%	No
ARPP21		1	1	112	0.9%	No
RHBDF2		2	2	112	1.8%	No
PLD6		1	1	112	0.9%	No
YEATS2		1	1	112	0.9%	No
TMEM145		1	1	112	0.9%	No
DYNC2H1		3	3	112	2.7%	No
ANKRD34B		1	1	112	0.9%	No
KCNF1		1	1	112	0.9%	No
KCNG1		1	1	112	0.9%	No
KCNH1		1	1	112	0.9%	No
KCNH2		1	1	112	0.9%	No
LDB2		1	1	112	0.9%	No
PINK1		1	1	112	0.9%	No
ZNF729		1	1	112	0.9%	No
CHD3		5	5	112	4.5%	No
CHD2		1	1	112	0.9%	Yes
NSUN5		1	1	112	0.9%	No
CHD1		2	2	112	1.8%	No
RCC1		1	1	112	0.9%	No
AKIRIN1		1	1	112	0.9%	No
VAC14		2	2	112	1.8%	No
ZNF234		1	1	112	0.9%	No
WDR4		2	2	112	1.8%	No
NCKAP1		2	2	112	1.8%	No
CHD4		1	1	112	0.9%	Yes
ACTR8		1	1	112	0.9%	No
KCNN2		1	1	112	0.9%	No
KCNN3		2	2	112	1.8%	No
HELQ		2	2	112	1.8%	No
EEIG1		1	1	112	0.9%	No
TUT7		3	2	112	1.8%	No
FN3KRP		1	1	112	0.9%	No
NLRX1		1	1	112	0.9%	No
VEPH1		2	2	112	1.8%	No
GIPC1		2	2	112	1.8%	No
STX3		2	2	112	1.8%	No
CYP20A1		1	1	112	0.9%	No
FASTKD1		1	1	112	0.9%	No
CHGB		2	2	112	1.8%	No
SMC6		1	1	112	0.9%	No
FOXN3		1	1	112	0.9%	No
CHEK1		1	1	112	0.9%	Yes
KCNJ16		1	1	112	0.9%	No
SDCBPP2		1	1	112	0.9%	No
KCNK2		1	1	112	0.9%	No
KCNK3		1	1	112	0.9%	No
LRTM1		1	1	112	0.9%	No
KDR		1	1	112	0.9%	Yes
LYST		2	1	112	0.9%	No
HBS1L		1	1	112	0.9%	No
ZNF776		1	1	112	0.9%	No
PLK2		1	1	112	0.9%	Yes
DHX40		1	1	112	0.9%	No
SULT1C2		1	1	112	0.9%	No
CHN2		1	1	112	0.9%	No
PIGQ		2	2	112	1.8%	No
SCYL1		2	2	112	1.8%	No
CHN1		1	1	112	0.9%	Yes
PARP8		2	2	112	1.8%	No
KCNQ1		1	1	112	0.9%	No
KCNQ2		1	1	112	0.9%	No
KCNQ3		1	1	112	0.9%	No
STXBP2		1	1	112	0.9%	No
KDM5B		2	1	112	0.9%	No
SLC24A3		1	1	112	0.9%	No
CHRNB4		1	1	112	0.9%	No
CHRNB2		2	2	112	1.8%	No
PRSS53		1	1	112	0.9%	No
OR4K17		1	1	112	0.9%	No
STAG3		1	1	112	0.9%	No
ZNF560		1	1	112	0.9%	No
ZYG11B		1	1	112	0.9%	No
TMEM190		2	2	112	1.8%	No
KHK		1	1	112	0.9%	No
KIF5A		1	1	112	0.9%	No
KIF5B		1	1	112	0.9%	Yes
YME1L1		2	2	112	1.8%	No
ZNF841		1	1	112	0.9%	No
OR13F1		1	1	112	0.9%	No
ZNF615		1	1	112	0.9%	No
RAPH1		1	1	112	0.9%	No
SLC36A3		1	1	112	0.9%	No
KIF4B		1	1	112	0.9%	No
SVIL		1	1	112	0.9%	No
OR11H4		1	1	112	0.9%	No
CIRBP		1	1	112	0.9%	No
FRG1		1	1	112	0.9%	No
OR5AU1		1	1	112	0.9%	No
PPP1R3D		1	1	112	0.9%	No
PCDHGA11		1	1	112	0.9%	No
PCDHGA9		1	1	112	0.9%	No
PCDHGB6		1	1	112	0.9%	No
CHRNE		1	1	112	0.9%	No
CHRND		1	1	112	0.9%	No
MTOR		3	3	112	2.7%	Yes
ABCC8		1	1	112	0.9%	No
SURF4		1	1	112	0.9%	No
RAI2		1	1	112	0.9%	No
MYEF2		1	1	112	0.9%	No
UBE3D		3	3	112	2.7%	No
PCDHGA5		1	1	112	0.9%	No
FSHR		1	1	112	0.9%	No
CENPI		1	1	112	0.9%	No
ZNF597		1	1	112	0.9%	No
BIRC6		3	3	112	2.7%	No
PCDHGA3		1	1	112	0.9%	No
PCDHGA1		1	1	112	0.9%	No
TPRX1		2	2	112	1.8%	No
PPP1R10		1	1	112	0.9%	No
SYCP1		1	1	112	0.9%	No
PPP1R37		1	1	112	0.9%	No
KIR3DX1		1	1	112	0.9%	No
NSDHL		1	1	112	0.9%	No
DDX51		1	1	112	0.9%	No
PPP3CA		1	1	112	0.9%	No
TENM2		1	1	112	0.9%	No
ESPN		1	1	112	0.9%	No
SLC12A7		2	2	112	1.8%	No
PCDHB10		2	2	112	1.8%	No
AXDND1		1	1	112	0.9%	No
OGA		1	1	112	0.9%	No
PCDHB7		2	2	112	1.8%	No
PCDHB14		1	1	112	0.9%	No
DSCAML1		1	1	112	0.9%	No
OSBPL6		1	1	112	0.9%	No
CCDC9B		2	2	112	1.8%	No
SLC25A53		1	1	112	0.9%	No
PCDHB12		2	2	112	1.8%	No
LYPD5		1	1	112	0.9%	No
PCDHB11		1	1	112	0.9%	No
SYP		1	1	112	0.9%	No
POLQ		1	1	112	0.9%	Yes
SYT11		1	1	112	0.9%	No
LINC02904		1	1	112	0.9%	No
NPY4R		1	1	112	0.9%	No
TAF1		2	2	112	1.8%	Yes
M1AP		1	1	112	0.9%	No
TAF4		1	1	112	0.9%	No
ANKRD13D		2	2	112	1.8%	No
ATP11B		1	1	112	0.9%	No
CLCN6		1	1	112	0.9%	No
FAM168A		1	1	112	0.9%	No
CLCN4		2	2	112	1.8%	No
CLCN3		1	1	112	0.9%	No
ACSBG1		1	1	112	0.9%	No
ANKRD42		1	1	112	0.9%	No
DUS3L		1	1	112	0.9%	No
DDX60		1	1	112	0.9%	No
CLCA1		1	1	112	0.9%	No
CCDC80		2	2	112	1.8%	No
DUSP10		1	1	112	0.9%	No
CARMIL1		1	1	112	0.9%	No
BMAL2		1	1	112	0.9%	No
TACC1		1	1	112	0.9%	No
MEF2A		1	1	112	0.9%	No
C19ORF44		1	1	112	0.9%	No
BLTP1		1	1	112	0.9%	No
ANKRD10		1	1	112	0.9%	No
PPP1R9A		1	1	112	0.9%	No
ASCC2		1	1	112	0.9%	No
GALNT6		3	2	112	1.8%	No
TSLP		1	1	112	0.9%	No
PRF1		1	1	112	0.9%	Yes
MEN1		1	1	112	0.9%	Yes
SRGN		1	1	112	0.9%	No
CLK2		1	1	112	0.9%	No
LETMD1		1	1	112	0.9%	No
C14ORF39		1	1	112	0.9%	No
SULF1		1	1	112	0.9%	No
MPC2		1	1	112	0.9%	No
PRRC2C		3	3	112	2.7%	No
ARHGEF33		1	1	112	0.9%	No
G3BP2		1	1	112	0.9%	No
DENND4B		4	4	112	3.6%	No
FCHSD1		1	1	112	0.9%	No
VPS50		1	1	112	0.9%	No
INSYN1		1	1	112	0.9%	No
CLCNKB		1	1	112	0.9%	No
MRC2		1	1	112	0.9%	No
MAP3K1	5.560e-11	15	9	112	8.0%	Yes
TAF4B		2	2	112	1.8%	No
SEC63		1	1	112	0.9%	No
HPS5		1	1	112	0.9%	No
KIF16B		2	2	112	1.8%	No
MAP3K4		3	3	112	2.7%	No
SRGAP3		1	1	112	0.9%	No
OTOG		1	1	112	0.9%	No
